WEEK;ADAPTIVE_SOFTWARE_DEVELOPMENT;SCRUMBAN;SCRUM;RAD;NOESTIMATES;LEAN_SOFTWARE_DEVELOPMENT;KANBAN;FDD;XP;DSDM;DISCIPLINED_AGILE_DELIVERY;AGILE_UNIFIED_PROCESS;AGILE_MODELING
2018-03-04;32;91;87;75;50;76;88;76;78;68;59;50;66
2018-03-11;48;45;90;100;50;76;91;95;91;68;0;20;83
2018-03-18;49;72;90;94;0;72;87;83;92;52;89;30;100
2018-03-25;67;31;81;79;51;46;78;66;66;64;46;31;45
2018-04-01;17;89;85;71;0;97;81;71;72;78;91;38;53
2018-04-08;16;69;88;86;50;77;92;81;68;69;60;41;71
2018-04-15;33;69;90;100;0;55;92;69;89;77;60;62;57
2018-04-22;16;69;89;88;0;59;89;81;87;67;45;34;65
2018-04-29;17;71;76;80;0;47;78;79;69;51;92;10;73
2018-05-06;0;39;82;98;0;92;86;76;72;70;91;72;49
2018-05-13;50;58;90;77;51;64;85;72;100;87;61;31;51
2018-05-20;0;67;85;99;0;70;89;74;92;64;31;35;54
2018-05-27;0;55;86;94;0;28;88;78;71;78;46;21;47
2018-06-03;50;66;91;81;0;46;96;82;70;90;30;34;51
2018-06-10;32;68;86;73;49;36;87;64;70;66;88;70;54
2018-06-17;49;100;87;78;50;32;84;63;68;89;90;10;42
2018-06-24;16;62;84;66;0;59;82;81;59;70;60;51;40
2018-07-01;16;27;81;70;0;9;79;70;50;79;90;41;61
2018-07-08;98;92;86;69;50;23;76;79;62;57;89;17;76
2018-07-15;17;40;86;79;52;61;87;80;70;59;31;18;76
2018-07-22;100;55;86;79;51;55;76;78;53;59;46;42;58
2018-07-29;0;46;86;88;75;46;74;95;53;67;30;41;42
2018-08-05;64;65;82;90;49;36;80;74;53;64;59;44;62
2018-08-12;66;66;84;75;0;83;73;67;59;60;91;27;47
2018-08-19;17;74;85;80;0;74;82;74;56;73;46;52;47
2018-08-26;33;50;88;67;100;64;85;75;70;93;90;20;50
2018-09-02;16;53;87;80;49;71;87;77;68;56;74;80;43
2018-09-09;32;49;91;71;49;85;87;83;62;72;44;63;66
2018-09-16;32;83;92;83;49;40;88;78;82;82;0;50;83
2018-09-23;32;63;91;87;0;44;86;92;64;70;73;50;78
2018-09-30;48;45;90;83;0;93;91;91;63;66;29;40;62
2018-10-07;48;76;92;95;0;63;89;76;73;100;60;51;67
2018-10-14;0;77;94;78;0;64;95;100;74;80;45;41;44
2018-10-21;32;57;92;92;99;63;90;76;70;59;59;54;64
2018-10-28;49;65;89;92;0;67;89;91;76;64;0;57;48
2018-11-04;32;52;90;67;0;89;87;68;57;88;58;56;63
2018-11-11;32;53;91;82;49;75;95;92;67;82;88;37;41
2018-11-18;33;76;84;88;0;36;85;66;55;84;45;41;52
2018-11-25;16;60;88;95;0;62;94;76;72;70;73;36;57
2018-12-02;32;26;85;78;49;67;90;87;66;87;30;60;70
2018-12-09;0;57;85;83;0;63;89;66;78;69;90;71;59
2018-12-16;34;75;80;75;51;56;72;81;63;42;61;42;47
2018-12-23;18;17;47;63;0;25;41;68;39;27;100;23;42
2018-12-30;0;37;62;56;0;58;54;54;36;33;32;36;33
2019-01-06;81;64;96;73;0;45;86;78;51;92;74;20;69
2019-01-13;64;67;96;59;49;45;91;72;68;82;44;60;31
2019-01-20;16;85;93;82;48;52;83;70;58;62;29;62;48
2019-01-27;79;63;98;88;48;70;87;76;72;58;58;33;69
2019-02-03;16;74;96;71;96;35;91;65;64;62;58;42;58
2019-02-10;62;77;100;93;47;82;90;81;64;78;43;36;72
2019-02-17;16;59;91;72;48;100;100;38;90;55;29;33;58
2019-02-24;0;56;50;63;0;67;46;31;71;35;0;100;31
