"","WEEK","SCRUM","NOESTIMATES","KANBAN"
"1","2018-03-04",87,50,88
"2","2018-03-11",90,50,91
"3","2018-03-18",90,0,87
"4","2018-03-25",81,51,78
"5","2018-04-01",85,0,81
"6","2018-04-08",88,50,92
"7","2018-04-15",90,0,92
"8","2018-04-22",89,0,89
"9","2018-04-29",76,0,78
"10","2018-05-06",82,0,86
"11","2018-05-13",90,51,85
"12","2018-05-20",85,0,89
"13","2018-05-27",86,0,88
"14","2018-06-03",91,0,96
"15","2018-06-10",86,49,87
"16","2018-06-17",87,50,84
"17","2018-06-24",84,0,82
"18","2018-07-01",81,0,79
"19","2018-07-08",86,50,76
"20","2018-07-15",86,52,87
"21","2018-07-22",86,51,76
"22","2018-07-29",86,75,74
"23","2018-08-05",82,49,80
"24","2018-08-12",84,0,73
"25","2018-08-19",85,0,82
"26","2018-08-26",88,100,85
"27","2018-09-02",87,49,87
"28","2018-09-09",91,49,87
"29","2018-09-16",92,49,88
"30","2018-09-23",91,0,86
"31","2018-09-30",90,0,91
"32","2018-10-07",92,0,89
"33","2018-10-14",94,0,95
"34","2018-10-21",92,99,90
"35","2018-10-28",89,0,89
"36","2018-11-04",90,0,87
"37","2018-11-11",91,49,95
"38","2018-11-18",84,0,85
"39","2018-11-25",88,0,94
"40","2018-12-02",85,49,90
"41","2018-12-09",85,0,89
"42","2018-12-16",80,51,72
"43","2018-12-23",47,0,41
"44","2018-12-30",62,0,54
"45","2019-01-06",96,0,86
"46","2019-01-13",96,49,91
"47","2019-01-20",93,48,83
"48","2019-01-27",98,48,87
"49","2019-02-03",96,96,91
"50","2019-02-10",100,47,90
"51","2019-02-17",91,48,100
"52","2019-02-24",50,0,46
"53","2019-03-03",92,0,89
"54","2019-03-10",100,92,95
"55","2019-03-17",96,0,96
"56","2019-03-24",97,0,94
"57","2019-03-31",99,0,100
"58","2019-04-07",96,95,99
"59","2019-04-14",83,0,83
"60","2019-04-21",87,97,93
"61","2019-04-28",83,0,89
"62","2019-05-05",94,94,93
"63","2019-05-12",39,0,44
